Australia, 0.338, 0.326, 0.337, 5.8, 5.5, 5.7, 2.8, 7.2, 19.4, 63.7, 40.9, 26.1
Austria, 0.285, 0.276, 0.280, 4.4, 4.3, 4.2, 3.3, 8.7, 22.6, 59.5, 36.7, 22.5
Belgium, 0.280, 0.268, 0.268, 4.2, 4.0, 4.0, 3.6, 8.8, 22.5, 58.9, 35.2, 20.6
Canada, 0.318, 0.321, 0.322, 5.3, 5.4, 5.5, 2.6, 7.2, 19.9, 62.7, 39.3, 24.2
Chile, 0.480, 0.471, 0.465, 11.8, 11.3, 10.6, 1.8, 4.9, 14.1, 72.5, 52.6, 37.1
Czech Republic, 0.257, 0.256, 0.262, 3.6, 3.6, 3.7, 4.0, 9.7, 24.1, 58.3, 36.1, 22.2
Denmark, 0.244, 0.249, 0.254, 3.4, 3.5, 3.6, 4.0, 9.8, 24.1, 57.6, 35.0, 21.2
Estonia, 0.316, 0.338, 0.361, 5.3, 5.8, 6.7, 2.3, 6.3, 17.6, 66.0, 42.4, 26.3
Finland, 0.269, 0.262, 0.257, 3.9, 3.8, 3.7, 4.0, 9.5, 23.8, 58.0, 35.3, 21.2
France, 0.295, 0.308, 0.294, 4.4, 4.7, 4.4, 3.5, 8.7, 22.2, 60.5, 38.5, 24.2
Germany, 0.285, 0.289, 0.292, 4.3, 4.3, 4.4, 3.5, 8.6, 22.0, 60.5, 37.9, 23.5
Greece, 0.330, 0.340, 0.343, 5.6, 6.3, 6.3, 2.2, 6.5, 18.8, 64.1, 40.9, 25.4
Hungary, 0.271, 0.289, 0.288, 3.9, 4.5, 4.5, 3.1, 8.3, 22.0, 60.2, 37.0, 22.5
Iceland, 0.289, 0.256, 0.244, 4.2, 3.6, 3.4, 4.1, 10.1, 24.7, 57.0, 34.5, 20.6
Ireland, 0.305, 0.304, 0.309, 4.7, 4.7, 4.8, 3.1, 8.2, 21.1, 61.7, 39.1, 24.4
Israel, 0.365, 0.360, 0.365, 7.5, 7.6, 7.4, 2.0, 5.7, 17.1, 65.9, 42.2, 26.3
Italy, 0.313, 0.331, 0.325, 5.2, 5.9, 5.8, 2.1, 6.8, 19.7, 62.7, 39.4, 24.4
Japan, 0.329, 0.336, 0.330, 6.0, 6.1, 6.1, 2.3, 6.5, 19.1, 63.3, 39.5, 24.0
Korea, 0.312, 0.302, 0.302, 5.6, 5.4, 5.4, 2.2, 6.9, 20.5, 61.1, 37.2, 22.0
Latvia, 0.376, 0.347, 0.352, 7.4, 6.2, 6.3, 2.4, 6.6, 18.3, 65.0, 41.9, 26.1
Luxembourg, 0.279, 0.301, 0.281, 4.1, 4.5, 4.2, 3.5, 8.7, 22.3, 59.9, 36.8, 22.1
Mexico, 0.450, 0.457, 0.459, 10.8, 11.5, 10.4, 1.7, 5.0, 14.3, 72.0, 51.7, 36.4
Netherlands, 0.298, 0.280, 0.283, 4.4, 4.2, 4.3, 3.3, 8.6, 22.4, 59.7, 37.0, 22.7
New Zealand, 0.330, 0.323, 0.333, 5.3, 5.3, 5.3, 3.1, 7.6, 19.7, 63.8, 40.7, 25.7
Norway, 0.250, 0.253, 0.252, 3.7, 3.8, 3.8, 3.4, 9.1, 24.1, 57.3, 34.5, 20.6
Poland, 0.316, 0.298, 0.300, 5.0, 4.7, 4.7, 3.1, 8.1, 21.4, 61.1, 38.2, 23.4
Portugal, 0.361, 0.338, 0.342, 6.3, 5.9, 6.1, 2.4, 6.9, 19.2, 63.9, 41.5, 26.2
Slovak Republic, 0.247, 0.250, 0.269, 3.6, 3.7, 4.1, 3.3, 8.8, 23.2, 58.7, 35.9, 21.6
Slovenia, 0.240, 0.250, 0.255, 3.5, 3.7, 3.8, 3.6, 9.1, 23.6, 57.8, 34.6, 20.4
Spain, 0.324, 0.335, 0.346, 5.6, 6.1, 6.7, 2.0, 6.1, 18.2, 64.6, 40.7, 24.7
Sweden, 0.259, 0.274, 0.281, 3.9, 4.1, 4.2, 3.5, 8.7, 22.5, 59.5, 36.7, 22.6
Switzerland, 0.298, 0.285, 0.295, 4.6, 4.3, 4.4, 3.4, 8.6, 22.1, 60.6, 38.3, 24.1
Turkey, 0.409, 0.402, 0.393, 7.9, 7.8, 7.6, 2.3, 6.1, 16.8, 67.9, 45.9, 30.2
United Kingdom, 0.373, 0.351, 0.358, 6.6, 5.9, 6.0, 2.7, 7.2, 19.1, 65.0, 43.1, 28.6
United States, 0.374, 0.396, 0.394, 7.9, 8.6, 8.7, 1.6, 5.2, 16.3, 67.7, 45.1, 29.2
